"player_name","player_id","position","date_of_birth"
"Jay Rodríguez","757","Forward","1989-07-29"
"Lyle Foster","758","Forward","2000-09-03"
"Benson Manuel","759","Forward","1997-03-28"
"Anass Zaroury","760","Forward","2000-11-07"
"Darko Churlinov","761","Forward","2000-07-11"
"Enock Agyei","762","Forward","2005-01-13"
"Zeki Amdouni","763","Forward","2000-12-04"
"Luca Koleosho","764","Forward","2004-09-15"
"Jacob Bruun Larsen","765","Forward","1998-09-19"
"Michael Obafemi","766","Forward","2000-07-06"
"Wilson Odobert","767","Forward","2004-11-28"
"Mike Trésor","768","Forward","1999-05-28"
"Marcus Bettinelli","769","Goalkeeper","1992-05-24"
"Édouard Mendy","770","Goalkeeper","1992-03-01"
"Lucas Bergström","771","Goalkeeper","2002-09-05"
"Ethan Wady","772","Goalkeeper","2002-01-23"
"Eddie Beach","773","Goalkeeper","2003-10-09"
"Robert Sánchez","774","Goalkeeper","1997-11-18"
"Djordje Petrovic","775","Goalkeeper",NULL
"Benoît Badiashile","776","Defender","2001-03-26"
"Thiago Silva","777","Defender","1984-09-22"
"Trevoh Chalobah","778","Defender","1999-07-05"
"Ben Chilwell","779","Defender","1996-12-21"
"Reece James","780","Defender","1999-12-08"
"Kalidou Koulibaly","781","Defender","1991-06-20"
"Marc Cucurella","782","Defender","1998-07-22"
"Wesley Fofana","783","Defender","2000-12-17"
"Alfie Gilchrist","784","Defender","2003-11-28"
"Levi Colwill","785","Defender","2003-02-26"
"Malo Gusto","786","Defender","2003-05-19"
"Malang Sarr","787","Defender","1999-01-23"
"Ian Maatsen","788","Defender","2002-03-10"
"Axel Disasi","789","Defender","1998-03-11"
"Ishé Samuels-Smith","790","Defender","2006-06-05"
"Josh Brooking","791","Defender","2002-09-01"
"Enzo Fernández","792","Midfielder","2001-01-17"
"Mykhailo Mudryk","793","Midfielder","2001-01-05"
"Conor Gallagher","794","Midfielder","2000-02-06"
"Carney Chukwuemeka","795","Midfielder","2003-10-20"
"Lesley Ugochukwu","796","Midfielder","2004-03-26"
"Moisés Caicedo","797","Midfielder",NULL
"Roméo Lavia","798","Midfielder","2004-01-06"
"Cole Palmer","799","Midfielder","2002-05-06"
"Leo Castledine","800","Midfielder","2005-08-20"
"João Félix","801","Forward","1999-11-10"
"Raheem Sterling","802","Forward","1994-12-08"
"Armando Broja","803","Forward","2001-09-10"
"Noni Madueke","804","Forward","2002-03-10"
"Christopher Nkunku","805","Forward","1997-11-14"
"Nicolas Jackson","806","Forward","2001-06-20"
"Deivid Washington","807","Forward","2005-06-05"
"Ronnie Stutter","808","Forward","2005-01-06"
"Alex Matos","809","Forward",NULL
"Sam Johnstone","810","Goalkeeper","1993-03-25"
"Joe Whitworth","811","Goalkeeper","2004-02-29"
"Remi Matthews","812","Goalkeeper","1994-02-10"
"Dean Henderson","813","Goalkeeper","1997-03-12"
"Joel Ward","814","Defender",NULL
"Tyrick Mitchell","815","Defender","1999-09-01"
"James Tomkins","816","Defender","1989-03-29"
"Marc Guéhi","817","Defender","2000-07-13"
"Joachim Andersen","818","Defender","1996-05-31"
"Nathaniel Clyne","819","Defender","1991-04-05"
"Chris Richards","820","Defender","2000-03-28"
"Nathan Ferguson","821","Defender",NULL
"Seán Grehan","822","Defender","2004-01-08"
"Rob Holding","823","Defender","1995-09-20"
"Luka Milivojevic","824","Midfielder",NULL
"Michael Olise","825","Midfielder","2001-12-12"
"Eberechi Eze","826","Midfielder","1998-06-29"
"Jeffrey Schlupp","827","Midfielder","1992-12-23"
"Will Hughes","828","Midfielder","1995-04-17"
"Cheick Doucouré","829","Midfielder","2000-01-08"
"Naouirou Ahamada","830","Midfielder",NULL
"Jairo Riedewald","831","Midfielder","1996-09-09"
"Jefferson Lerma","832","Midfielder","1994-10-25"
"Jesurun Rak-Sakyi","833","Midfielder",NULL
"Jack Wells-Morrison","834","Midfielder",NULL
"David Ozoh","835","Midfielder",NULL
"Jadan Raymond","836","Midfielder","2003-10-15"
"Jordan Ayew","837","Forward",NULL
"Jean-Philippe Mateta","838","Forward",NULL
"Odsonne Édouard","839","Forward","1998-01-16"
"Adler Nascimento","840","Forward",NULL
"Malcolm Ebiowei","841","Forward","2003-09-04"
"Matheus França","842","Forward","2004-04-01"
"Jordan Pickford","843","Goalkeeper","1994-03-07"
"Asmir Begovic","844","Goalkeeper","1987-06-20"
"Andy Lonergan","845","Goalkeeper","1983-10-19"
"Billy Crellin","846","Goalkeeper","2000-06-30"
"João Virgínia","847","Goalkeeper","1999-10-10"
"James Tarkowski","848","Defender","1992-11-19"
"Nathan Patterson","849","Defender","2001-10-16"
"Michael Keane","850","Defender","1993-01-11"
"Vitalii Mykolenko","851","Defender","1999-05-29"
"Ben Godfrey","852","Defender","1998-01-15"
"Séamus Coleman","853","Defender","1988-10-11"
"Conor Coady","854","Defender","1993-02-25"
"Jarrad Branthwaite","855","Defender","2002-06-27"
"Ashley Young","856","Defender","1985-07-09"
"Amadou Onana","857","Midfielder","2001-08-16"
"Abdoulaye Doucouré","858","Midfielder","1993-01-01"
"Idrissa Gueye","859","Midfielder","1989-09-26"
"James Garner","860","Midfielder","2001-03-13"
"Sean McAllister","861","Midfielder","2002-09-15"
"Stanley Mills","862","Midfielder","2003-10-25"
"Dele Alli","863","Midfielder","1996-04-11"
"André Gomes","864","Midfielder","1993-07-30"
"Tyler Onyango","865","Midfielder","2003-03-04"
"Jack Harrison","866","Midfielder","1996-11-20"
"Mackenzie Hunt","867","Midfielder","2001-11-14"
"Dwight McNeil","868","Forward","1999-11-22"
"Dominic Calvert-Lewin","869","Forward","1997-03-16"
"Lewis Dobbin","870","Forward","2003-01-03"
"Arnaut Danjuma","871","Forward","1997-01-31"
"Youssef Chermiti","872","Forward","2004-05-24"
" Beto","873","Forward","1998-01-31"
"Marek Rodák","874","Goalkeeper","1996-12-13"
"Bernd Leno","875","Goalkeeper","1992-03-04"
"George Wickens","876","Goalkeeper","2001-11-08"
"Steven Benda","877","Goalkeeper","1998-10-01"
"Kenny Tete","878","Defender","1995-10-09"
"Tosin Adarabioyo","879","Defender","1997-09-24"
"Tim Ream","880","Defender","1987-10-05"
"Issa Diop","881","Defender","1997-01-09"
"Antonee Robinson","882","Defender","1997-08-08"
"Luc De Fougerolles","883","Defender","2005-10-12"
"Calvin Bassey","884","Defender","1999-12-31"
"Timothy Castagne","885","Defender","1995-12-05"
"Fodé Ballo-Touré","886","Defender","1997-01-03"
"Devan Tanton","887","Defender","2004-01-03"
"Harrison Reed","888","Midfielder","1995-01-27"
"Harry Wilson","889","Midfielder","1997-03-22"
"Tom Cairney","890","Midfielder","1991-01-20"
"Andreas Pereira","891","Midfielder","1996-01-01"
"João Palhinha","892","Midfielder","1995-07-09"
"Sasa Lukic","893","Midfielder","1996-08-13"
"Tyrese Francois","894","Midfielder","2000-07-16"
"Luke Harris","895","Midfielder","2005-03-04"
"Matthew Dibley-Dias","896","Midfielder","2003-10-29"
"Bobby De Cordova-Reid","897","Forward","1993-02-02"
" Willian","898","Forward","1988-08-09"
"Carlos Vinícius","899","Forward","1995-03-25"
"Rodrigo Muniz","900","Forward","2001-05-04"
"Raúl Jiménez","901","Forward","1991-05-05"
"Adama Traoré","902","Forward","1996-01-25"
"Alex Iwobi","903","Forward","1996-05-03"
"Alisson Becker","904","Goalkeeper","1992-10-02"
" Adrián","905","Goalkeeper","1987-01-03"
"Caoimhín Kelleher","906","Goalkeeper","1998-11-23"
"Fabian Mrozek","907","Goalkeeper","2003-09-28"
"Marcelo Pitaluga","908","Goalkeeper","2002-12-20"
"Vítezslav Jaros","909","Goalkeeper","2001-07-23"
"Joe Gomez","910","Defender","1997-05-23"
"Virgil van Dijk","911","Defender","1991-07-08"
"Ibrahima Konaté","912","Defender","1999-05-25"
"Kostas Tsimikas","913","Defender","1996-05-12"
"Calvin Ramsay","914","Defender","2003-07-31"
"Andy Robertson","915","Defender","1994-03-11"
"Joël Matip","916","Defender","1991-08-08"
"Rhys Williams","917","Defender","2001-02-03"
"Trent Alexander-Arnold","918","Defender","1998-10-07"
"Luke Chambers","919","Defender","2004-06-24"
"Jarell Quansah","920","Defender","2003-01-29"
"Conor Bradley","921","Defender","2003-07-09"
"Stefan Bajcetic","922","Midfielder","2004-10-22"
"Thiago Alcântara","923","Midfielder","1991-04-11"
"Naby Keïta","924","Midfielder","1995-02-10"
"Alex Oxlade-Chamberlain","925","Midfielder","1993-08-15"
"Curtis Jones","926","Midfielder","2001-01-30"
"Harvey Elliott","927","Midfielder","2003-04-04"
"Fábio Carvalho","928","Midfielder","2002-08-30"
" Arthur","929","Midfielder","1996-08-12"
"Bobby Clark","930","Midfielder","2005-02-07"
"Alexis Mac Allister","931","Midfielder","1998-12-24"
"Dominik Szoboszlai","932","Midfielder","2000-10-25"
"Wataru Endo","933","Midfielder","1993-02-09"
"Ryan Gravenberch","934","Midfielder","2002-05-16"
"Treymaurice Nyoni","935","Midfielder","2007-06-30"
"Mohamed Salah","936","Forward","1992-06-15"
"Cody Gakpo","937","Forward","1999-05-07"
"Diogo Jota","938","Forward","1996-12-04"
"Luis Díaz","939","Forward","1997-01-13"
"Darwin Núñez","940","Forward","1999-06-24"
"Ben Doak","941","Forward","2005-11-11"
"Kaide Gordon","942","Forward","2004-10-05"
"James Shea","943","Goalkeeper","1991-06-16"
"Thomas Kaminski","944","Goalkeeper","1992-10-23"
"Tim Krul","945","Goalkeeper","1988-04-03"
"Dan Potts","946","Defender","1994-04-13"
"Tom Lockyer","947","Defender","1994-12-03"
"Reece Burke","948","Defender","1996-09-02"
"Amari'i Bell","949","Defender","1994-05-05"
"Gabriel Osho","950","Defender","1998-08-14"
"Joe Johnson","951","Defender","2006-02-21"
"Mads Andersen","952","Defender","1997-12-27"
"Issa Kaboré","953","Defender","2001-05-12"
"Teden Mengi","954","Defender","2002-04-30"
"Luke Berry","955","Midfielder","1992-07-12"
"Pelly Ruddock Mpanzu","956","Midfielder","1994-03-22"
"Jordan Clark","957","Midfielder","1993-09-22"
"Zack Nelson","958","Midfielder","2005-04-21"
"Alfie Doughty","959","Midfielder","1999-12-21"
"Jayden Luker","960","Midfielder","2005-04-30"
"Tahith Chong","961","Midfielder","1999-12-04"
"Marvelous Nakamba","962","Midfielder","1994-01-19"
"Ryan Giles","963","Midfielder","2000-01-26"
"Ross Barkley","964","Midfielder","1993-12-05"
"Albert Sambi Lokonga","965","Midfielder","1999-10-22"
"Jake Burger","966","Midfielder","2004-10-06"
"Andros Townsend","967","Midfielder","1991-07-16"
"Carlton Morris","968","Forward","1995-12-16"
"Cauley Woodrow","969","Forward","1994-12-02"
"Elijah Adebayo","970","Forward","1998-01-07"
"Chiedozie Ogbene","971","Forward","1997-05-01"
"Jacob Brown","972","Forward","1998-04-10"
"Stefan Ortega","973","Goalkeeper","1992-11-06"
" Ederson","974","Goalkeeper","1993-08-17"
"Scott Carson","975","Goalkeeper","1985-09-03"
"Zack Steffen","976","Goalkeeper","1995-04-02"
"Kyle Walker","977","Defender","1990-05-28"
"Rúben Dias","978","Defender","1997-05-14"
"John Stones","979","Defender","1994-05-28"
"Nathan Aké","980","Defender","1995-02-18"
"Manuel Akanji","981","Defender","1995-07-19"
"Rico Lewis","982","Defender","2004-11-21"
"Josko Gvardiol","983","Defender","2002-01-23"
"Kalvin Phillips","984","Midfielder","1995-12-02"
"Jack Grealish","985","Midfielder","1995-09-10"
" Rodri","986","Midfielder","1996-06-22"
"Kevin De Bruyne","987","Midfielder","1991-06-28"
"Bernardo Silva","988","Midfielder","1994-08-10"
"Sergio Gómez","989","Midfielder","2000-09-04"
"Phil Foden","990","Midfielder","2000-05-28"
"Alex Robertson","991","Midfielder","2003-04-17"
"Mateo Kovacic","992","Midfielder","1994-05-06"
"Oscar Bobb","993","Midfielder","2003-07-12"
"Matheus Nunes","994","Midfielder","1998-08-27"
"Micah Hamilton","995","Midfielder","2003-11-13"
"Erling Haaland","996","Forward","2000-07-21"
"Julián Álvarez","997","Forward","2000-01-31"
"Jérémy Doku","998","Forward","2002-05-27"
"Tom Heaton","999","Goalkeeper","1986-04-15"
"Radek Vítek","1000","Goalkeeper","2003-10-24"
"André Onana","1001","Goalkeeper","1996-04-02"
"Altay Bayindir","1002","Goalkeeper","1998-04-14"
"Victor Lindelöf","1003","Defender","1994-07-17"
"Harry Maguire","1004","Defender","1993-03-05"
"Lisandro Martínez","1005","Defender","1998-01-18"
"Tyrell Malacia","1006","Defender","1999-08-17"
"Raphaël Varane","1007","Defender","1993-04-25"
"Diogo Dalot","1008","Defender","1999-03-18"
"Luke Shaw","1009","Defender","1995-07-12"
"Aaron Wan-Bissaka","1010","Defender","1997-11-26"
"Jonny Evans","1011","Defender","1988-01-03"
"Sergio Reguilón","1012","Defender","1996-12-16"
"Bruno Fernandes","1013","Midfielder","1994-09-08"
"Christian Eriksen","1014","Midfielder","1992-02-14"
" Casemiro","1015","Midfielder","1992-02-23"
"Facundo Pellistri","1016","Midfielder","2001-12-20"
"Donny van de Beek","1017","Midfielder","1997-04-18"
"Scott McTominay","1018","Midfielder","1996-12-08"
"Zidane Iqbal","1019","Midfielder","2003-04-27"
"Kobbie Mainoo","1020","Midfielder","2005-04-19"
"Hannibal Mejbri","1021","Midfielder","2003-01-21"
"Mason Mount","1022","Midfielder","1999-01-10"
"Omari Forson","1023","Midfielder","2004-07-20"
"Daniel Gore","1024","Midfielder","2004-09-26"
"Sofyan Amrabat","1025","Midfielder","1996-08-21"
"Anthony Martial","1026","Forward","1995-12-05"
"Marcus Rashford","1027","Forward","1997-10-31"
" Antony","1028","Forward","2000-02-24"
"Jadon Sancho","1029","Forward","2000-03-25"
"Alejandro Garnacho","1030","Forward","2004-07-01"
"Amad Diallo","1031","Forward","2002-07-11"
"Shola Shoretire","1032","Forward","2004-02-02"
"Rasmus Højlund","1033","Forward","2003-02-04"
"Martin Dúbravka","1034","Goalkeeper","1989-01-15"
"Loris Karius","1035","Goalkeeper","1993-06-22"
"Nick Pope","1036","Goalkeeper","1992-04-19"
"Mark Gillespie","1037","Goalkeeper","1992-03-27"
"Kieran Trippier","1038","Defender","1990-09-19"
"Paul Dummett","1039","Defender","1991-09-26"
"Sven Botman","1040","Defender","2000-01-12"
"Fabian Schär","1041","Defender","1991-12-20"
"Jamaal Lascelles","1042","Defender","1993-11-11"
"Matt Targett","1043","Defender","1995-09-18"
"Emil Krafth","1044","Defender","1994-08-02"
"Javier Manquillo","1045","Defender","1994-05-05"
"Dan Burn","1046","Defender","1992-05-09"
"Alex Murphy","1047","Defender","2004-06-25"
"Tino Livramento","1048","Defender","2002-11-12"
"Lewis Hall","1049","Defender","2004-09-08"
"Matt Ritchie","1050","Midfielder","1989-09-10"
"Jacob Murphy","1051","Midfielder","1995-02-24"
"Miguel Almirón","1052","Midfielder","1994-02-10"
"Joe Willock","1053","Midfielder","1999-08-20"
"Sean Longstaff","1054","Midfielder","1997-10-30"
"Bruno Guimarães","1055","Midfielder","1997-11-16"
"Sandro Tonali","1056","Midfielder","2000-05-08"
"Harvey Barnes","1057","Midfielder","1997-12-09"
"Lucas De Bolle","1058","Midfielder","2002-10-22"
"Elliot Anderson","1059","Midfielder","2002-11-06"
"Lewis Miley","1060","Midfielder","2006-05-01"
" Joelinton","1061","Forward","1996-08-14"
"Anthony Gordon","1062","Forward","2001-02-24"
"Callum Wilson","1063","Forward","1992-02-27"
"Alexander Isak","1064","Forward","1999-09-21"
"Ben Parkinson","1065","Forward","2005-03-10"
"Amadou Diallo","1066","Forward","2003-02-15"
"Wayne Hennessey","1067","Goalkeeper","1987-01-24"
"Ethan Horvath","1068","Goalkeeper","1995-06-09"
"George Shelvey","1069","Goalkeeper","2001-04-22"
"Matt Turner","1070","Goalkeeper","1994-06-24"
"Odysseas Vlachodimos","1071","Goalkeeper","1994-04-26"
"Joe Worrall","1072","Defender","1997-01-10"
"Neco Williams","1073","Defender","2001-04-13"
"Harry Toffolo","1074","Defender","1995-08-19"
"Moussa Niakhaté","1075","Defender","1996-03-08"
"Sèrge Aurier","1076","Defender","1992-12-24"
"Scott McKenna","1077","Defender","1996-11-12"
"Willy-Arnaud Boly","1078","Defender","1991-02-03"
" Felipe","1079","Defender","1989-05-16"
"Ola Aina","1080","Defender","1996-10-08"
"Gonzalo Montiel","1081","Defender","1997-01-01"
" Murillo","1082","Defender","2002-07-04"
"Nuno Tavares","1083","Defender","2000-01-26"
"Andrew Omobamidele","1084","Defender","2002-06-23"
"Orel Mangala","1085","Midfielder","1998-03-18"
"Morgan Gibbs-White","1086","Midfielder","2000-01-27"
"Cheikhou Kouyaté","1087","Midfielder","1989-12-21"
"Ryan Yates","1088","Midfielder","1997-11-21"
" Danilo","1089","Midfielder","2001-04-29"
"Andrey Santos","1090","Midfielder","2004-05-03"
"Brandon Aguilera","1091","Midfielder","2003-06-28"
"Ibrahim Sangaré","1092","Midfielder","1997-12-02"
"Nicolás Domínguez","1093","Midfielder","1998-06-28"
"Taiwo Awoniyi","1094","Forward","1997-08-12"
"Chris Wood","1095","Forward","1991-12-07"
"Anthony Elanga","1096","Forward","2002-04-27"
"Divock Origi","1097","Forward","1995-04-18"
"Callum Hudson-Odoi","1098","Forward","2000-11-07"
"Adam Davies","1099","Goalkeeper","1992-07-17"
"Wes Foderingham","1100","Goalkeeper","1991-01-14"
"Jordan Amissah","1101","Goalkeeper","2001-08-02"
"George Baldock","1102","Defender","1993-03-09"
"Chris Basham","1103","Defender","1988-07-20"
"John Egan","1104","Defender","1992-10-20"
"Max Lowe","1105","Defender","1997-05-11"
"Anel Ahmedhodzic","1106","Defender","1999-03-26"
"Jack Robinson","1107","Defender","1993-09-01"
"Jayden Bogle","1108","Defender","2000-07-27"
"Rhys Norrington-Davies","1109","Defender","1999-04-22"
"Jili Buyabu","1110","Defender","2003-08-09"
"Yasser Larouci","1111","Defender","2001-01-01"
"Auston Trusty","1112","Defender","1998-08-12"
"Luke Thomas","1113","Defender","2001-06-10"
"Femi Seriki","1114","Defender","2002-04-28"
"John Fleck","1115","Midfielder","1991-08-24"
"Oliver Norwood","1116","Midfielder","1991-04-12"
"Ismaila Coulibaly","1117","Midfielder","2000-12-25"
"Ben Osborn","1118","Midfielder","1994-08-05"
"Andre Brooks","1119","Midfielder","2003-08-20"
"Anis Ben Slimane","1120","Midfielder","2001-03-16"
"Vinicius Souza","1121","Midfielder","1999-06-17"
"Gustavo Hamer","1122","Midfielder","1997-06-24"
"Tom Davies","1123","Midfielder","1998-06-30"
