"matchweek","home_ticket","away_ticket","match_time","match_id"
31,"18944","3000","2024-07-29 19:00:00","BURFUL"
2,"18944","3000","2024-01-08 19:00:00","BURLIV"
11,"18944","3000","2024-03-11 19:00:00","BURLUT"
20,"18944","3000","2024-05-13 19:00:00","BURMCI"
29,"18944","3000","2024-07-15 19:00:00","BURMUN"
38,"18944","3000","2024-09-16 19:00:00","BURNEW"
9,"18944","3000","2024-02-26 19:00:00","BURNOT"
18,"18944","3000","2024-04-29 19:00:00","BURSHE"
27,"18944","3000","2024-07-01 19:00:00","BURTOT"
36,"18944","3000","2024-09-02 19:00:00","BURWHU"
14,"18944","3000","2024-04-01 19:00:00","BURWOL"
16,"36309","4034","2024-04-15 19:00:00","CHEARS"
25,"36309","4034","2024-06-17 19:00:00","CHEAVL"
34,"36309","4034","2024-08-19 19:00:00","CHEBHA"
5,"36309","4034","2024-01-29 19:00:00","CHEBOU"
14,"36309","4034","2024-04-01 19:00:00","CHEBRE"
23,"36309","4034","2024-06-03 19:00:00","CHEBUR"
22,"36309","4034","2024-05-27 19:00:00","CHECRY"
31,"36309","4034","2024-07-29 19:00:00","CHEEVE"
2,"36309","4034","2024-01-08 19:00:00","CHEFUL"
11,"36309","4034","2024-03-11 19:00:00","CHELIV"
20,"36309","4034","2024-05-13 19:00:00","CHELUT"
29,"36309","4034","2024-07-15 19:00:00","CHEMCI"
38,"36309","4034","2024-09-16 19:00:00","CHEMUN"
9,"36309","4034","2024-02-26 19:00:00","CHENEW"
18,"36309","4034","2024-04-29 19:00:00","CHENOT"
27,"36309","4034","2024-07-01 19:00:00","CHESHE"
36,"36309","4034","2024-09-02 19:00:00","CHETOT"
7,"36309","4034","2024-02-12 19:00:00","CHEWHU"
32,"36309","4034","2024-08-05 19:00:00","CHEWOL"
25,"22486","3000","2024-06-17 19:00:00","CRYARS"
34,"22486","3000","2024-08-19 19:00:00","CRYAVL"
5,"22486","3000","2024-01-29 19:00:00","CRYBHA"
14,"22486","3000","2024-04-01 19:00:00","CRYBOU"
23,"22486","3000","2024-06-03 19:00:00","CRYBRE"
32,"22486","3000","2024-08-05 19:00:00","CRYBUR"
3,"22486","3000","2024-01-15 19:00:00","CRYCHE"
2,"22486","3000","2024-01-08 19:00:00","CRYEVE"
11,"22486","3000","2024-03-11 19:00:00","CRYFUL"
20,"22486","3000","2024-05-13 19:00:00","CRYLIV"
29,"22486","3000","2024-07-15 19:00:00","CRYLUT"
38,"22486","3000","2024-09-16 19:00:00","CRYMCI"
9,"22486","3000","2024-02-26 19:00:00","CRYMUN"
18,"22486","3000","2024-04-29 19:00:00","CRYNEW"
27,"22486","3000","2024-07-01 19:00:00","CRYNOT"
36,"22486","3000","2024-09-02 19:00:00","CRYSHE"
7,"22486","3000","2024-02-12 19:00:00","CRYTOT"
16,"22486","3000","2024-04-15 19:00:00","CRYWHU"
12,"22486","3000","2024-03-18 19:00:00","CRYWOL"
34,"35473","3941","2024-08-19 19:00:00","EVEARS"
5,"35473","3941","2024-01-29 19:00:00","EVEAVL"
14,"35473","3941","2024-04-01 19:00:00","EVEBHA"
23,"35473","3941","2024-06-03 19:00:00","EVEBOU"
32,"35473","3941","2024-08-05 19:00:00","EVEBRE"
3,"35473","3941","2024-01-15 19:00:00","EVEBUR"
12,"35473","3941","2024-03-18 19:00:00","EVECHE"
21,"35473","3941","2024-05-20 19:00:00","EVECRY"
20,"35473","3941","2024-05-13 19:00:00","EVEFUL"
29,"35473","3941","2024-07-15 19:00:00","EVELIV"
38,"35473","3941","2024-09-16 19:00:00","EVELUT"
9,"35473","3941","2024-02-26 19:00:00","EVEMCI"
18,"35473","3941","2024-04-29 19:00:00","EVEMUN"
27,"35473","3941","2024-07-01 19:00:00","EVENEW"
36,"35473","3941","2024-09-02 19:00:00","EVENOT"
7,"35473","3941","2024-02-12 19:00:00","EVESHE"
16,"35473","3941","2024-04-15 19:00:00","EVETOT"
25,"35473","3941","2024-06-17 19:00:00","EVEWHU"
30,"35473","3941","2024-07-22 19:00:00","EVEWOL"
5,"26600","3000","2024-01-29 19:00:00","FULARS"
14,"26600","3000","2024-04-01 19:00:00","FULAVL"
23,"26600","3000","2024-06-03 19:00:00","FULBHA"
32,"26600","3000","2024-08-05 19:00:00","FULBOU"
3,"26600","3000","2024-01-15 19:00:00","FULBRE"
12,"26600","3000","2024-03-18 19:00:00","FULBUR"
21,"26600","3000","2024-05-20 19:00:00","FULCHE"
30,"26600","3000","2024-07-22 19:00:00","FULCRY"
1,"26600","3000","2024-01-01 19:00:00","FULEVE"
38,"26600","3000","2024-09-16 19:00:00","FULLIV"
9,"26600","3000","2024-02-26 19:00:00","FULLUT"
18,"26600","3000","2024-04-29 19:00:00","FULMCI"
27,"26600","3000","2024-07-01 19:00:00","FULMUN"
36,"26600","3000","2024-09-02 19:00:00","FULNEW"
7,"26600","3000","2024-02-12 19:00:00","FULNOT"
16,"26600","3000","2024-04-15 19:00:00","FULSHE"
25,"26600","3000","2024-06-17 19:00:00","FULTOT"
34,"26600","3000","2024-08-19 19:00:00","FULWHU"
10,"26600","3000","2024-03-04 19:00:00","FULWOL"
14,"48055","5339","2024-04-01 19:00:00","LIVARS"
23,"48055","5339","2024-06-03 19:00:00","LIVAVL"
32,"48055","5339","2024-08-05 19:00:00","LIVBHA"
3,"48055","5339","2024-01-15 19:00:00","LIVBOU"
12,"48055","5339","2024-03-18 19:00:00","LIVBRE"
21,"48055","5339","2024-05-20 19:00:00","LIVBUR"
30,"48055","5339","2024-07-22 19:00:00","LIVCHE"
1,"48055","5339","2024-01-01 19:00:00","LIVCRY"
10,"48055","5339","2024-03-04 19:00:00","LIVEVE"
19,"48055","5339","2024-05-06 19:00:00","LIVFUL"
18,"48055","5339","2024-04-29 19:00:00","LIVLUT"
27,"48055","5339","2024-07-01 19:00:00","LIVMCI"
36,"48055","5339","2024-09-02 19:00:00","LIVMUN"
7,"48055","5339","2024-02-12 19:00:00","LIVNEW"
16,"48055","5339","2024-04-15 19:00:00","LIVNOT"
25,"48055","5339","2024-06-17 19:00:00","LIVSHE"
34,"48055","5339","2024-08-19 19:00:00","LIVTOT"
5,"48055","5339","2024-01-29 19:00:00","LIVWHU"
28,"48055","5339","2024-07-08 19:00:00","LIVWOL"
23,"7356","3000","2024-06-03 19:00:00","LUTARS"
32,"7356","3000","2024-08-05 19:00:00","LUTAVL"
3,"7356","3000","2024-01-15 19:00:00","LUTBHA"
12,"7356","3000","2024-03-18 19:00:00","LUTBOU"
21,"7356","3000","2024-05-20 19:00:00","LUTBRE"
30,"7356","3000","2024-07-22 19:00:00","LUTBUR"
1,"7356","3000","2024-01-01 19:00:00","LUTCHE"
10,"7356","3000","2024-03-04 19:00:00","LUTCRY"
19,"7356","3000","2024-05-06 19:00:00","LUTEVE"
28,"7356","3000","2024-07-08 19:00:00","LUTFUL"
37,"7356","3000","2024-09-09 19:00:00","LUTLIV"
36,"7356","3000","2024-09-02 19:00:00","LUTMCI"
7,"7356","3000","2024-02-12 19:00:00","LUTMUN"
16,"7356","3000","2024-04-15 19:00:00","LUTNEW"
25,"7356","3000","2024-06-17 19:00:00","LUTNOT"
34,"7356","3000","2024-08-19 19:00:00","LUTSHE"
5,"7356","3000","2024-01-29 19:00:00","LUTTOT"
14,"7356","3000","2024-04-01 19:00:00","LUTWHU"
8,"7356","3000","2024-02-19 19:00:00","LUTWOL"
32,"48060","5340","2024-08-05 19:00:00","MCIARS"
3,"48060","5340","2024-01-15 19:00:00","MCIAVL"
12,"48060","5340","2024-03-18 19:00:00","MCIBHA"
21,"48060","5340","2024-05-20 19:00:00","MCIBOU"
30,"48060","5340","2024-07-22 19:00:00","MCIBRE"
1,"48060","5340","2024-01-01 19:00:00","MCIBUR"
10,"48060","5340","2024-03-04 19:00:00","MCICHE"
19,"48060","5340","2024-05-06 19:00:00","MCICRY"
28,"48060","5340","2024-07-08 19:00:00","MCIEVE"
37,"48060","5340","2024-09-09 19:00:00","MCIFUL"
8,"48060","5340","2024-02-19 19:00:00","MCILIV"
17,"48060","5340","2024-04-22 19:00:00","MCILUT"
16,"48060","5340","2024-04-15 19:00:00","MCIMUN"
25,"48060","5340","2024-06-17 19:00:00","MCINEW"
34,"48060","5340","2024-08-19 19:00:00","MCINOT"
5,"48060","5340","2024-01-29 19:00:00","MCISHE"
14,"48060","5340","2024-04-01 19:00:00","MCITOT"
23,"48060","5340","2024-06-03 19:00:00","MCIWHU"
26,"48060","5340","2024-06-24 19:00:00","MCIWOL"
3,"66879","7431","2024-01-15 19:00:00","MUNARS"
12,"66879","7431","2024-03-18 19:00:00","MUNAVL"
21,"66879","7431","2024-05-20 19:00:00","MUNBHA"
30,"66879","7431","2024-07-22 19:00:00","MUNBOU"
1,"66879","7431","2024-01-01 19:00:00","MUNBRE"
10,"66879","7431","2024-03-04 19:00:00","MUNBUR"
19,"66879","7431","2024-05-06 19:00:00","MUNCHE"
28,"66879","7431","2024-07-08 19:00:00","MUNCRY"
37,"66879","7431","2024-09-09 19:00:00","MUNEVE"
8,"66879","7431","2024-02-19 19:00:00","MUNFUL"
17,"66879","7431","2024-04-22 19:00:00","MUNLIV"
26,"66879","7431","2024-06-24 19:00:00","MUNLUT"
35,"66879","7431","2024-08-26 19:00:00","MUNMCI"
34,"66879","7431","2024-08-19 19:00:00","MUNNEW"
5,"66879","7431","2024-01-29 19:00:00","MUNNOT"
14,"66879","7431","2024-04-01 19:00:00","MUNSHE"
23,"66879","7431","2024-06-03 19:00:00","MUNTOT"
32,"66879","7431","2024-08-05 19:00:00","MUNWHU"
6,"66879","7431","2024-02-05 19:00:00","MUNWOL"
12,"47075","5230","2024-03-18 19:00:00","NEWARS"
21,"47075","5230","2024-05-20 19:00:00","NEWAVL"
30,"47075","5230","2024-07-22 19:00:00","NEWBHA"
1,"47075","5230","2024-01-01 19:00:00","NEWBOU"
10,"47075","5230","2024-03-04 19:00:00","NEWBRE"
19,"47075","5230","2024-05-06 19:00:00","NEWBUR"
28,"47075","5230","2024-07-08 19:00:00","NEWCHE"
37,"47075","5230","2024-09-09 19:00:00","NEWCRY"
8,"47075","5230","2024-02-19 19:00:00","NEWEVE"
17,"47075","5230","2024-04-22 19:00:00","NEWFUL"
26,"47075","5230","2024-06-24 19:00:00","NEWLIV"
35,"47075","5230","2024-08-26 19:00:00","NEWLUT"
6,"47075","5230","2024-02-05 19:00:00","NEWMCI"
15,"47075","5230","2024-04-08 19:00:00","NEWMUN"
14,"47075","5230","2024-04-01 19:00:00","NEWNOT"
23,"47075","5230","2024-06-03 19:00:00","NEWSHE"
32,"47075","5230","2024-08-05 19:00:00","NEWTOT"
3,"47075","5230","2024-01-15 19:00:00","NEWWHU"
24,"47075","5230","2024-06-10 19:00:00","NEWWOL"
21,"27299","3033","2024-05-20 19:00:00","NOTARS"
30,"27299","3033","2024-07-22 19:00:00","NOTAVL"
1,"27299","3033","2024-01-01 19:00:00","NOTBHA"
10,"27299","3033","2024-03-04 19:00:00","NOTBOU"
19,"27299","3033","2024-05-06 19:00:00","NOTBRE"
28,"27299","3033","2024-07-08 19:00:00","NOTBUR"
37,"27299","3033","2024-09-09 19:00:00","NOTCHE"
8,"27299","3033","2024-02-19 19:00:00","NOTCRY"
17,"27299","3033","2024-04-22 19:00:00","NOTEVE"
26,"27299","3033","2024-06-24 19:00:00","NOTFUL"
35,"27299","3033","2024-08-26 19:00:00","NOTLIV"
6,"27299","3033","2024-02-05 19:00:00","NOTLUT"
15,"27299","3033","2024-04-08 19:00:00","NOTMCI"
24,"27299","3033","2024-06-10 19:00:00","NOTMUN"
33,"27299","3033","2024-08-12 19:00:00","NOTNEW"
32,"27299","3033","2024-08-05 19:00:00","NOTSHE"
3,"27299","3033","2024-01-15 19:00:00","NOTTOT"
12,"27299","3033","2024-03-18 19:00:00","NOTWHU"
4,"27299","3033","2024-01-22 19:00:00","NOTWOL"
30,"28845","3205","2024-07-22 19:00:00","SHEARS"
1,"28845","3205","2024-01-01 19:00:00","SHEAVL"
10,"28845","3205","2024-03-04 19:00:00","SHEBHA"
19,"28845","3205","2024-05-06 19:00:00","SHEBOU"
28,"28845","3205","2024-07-08 19:00:00","SHEBRE"
37,"28845","3205","2024-09-09 19:00:00","SHEBUR"
8,"28845","3205","2024-02-19 19:00:00","SHECHE"
17,"28845","3205","2024-04-22 19:00:00","SHECRY"
26,"28845","3205","2024-06-24 19:00:00","SHEEVE"
35,"28845","3205","2024-08-26 19:00:00","SHEFUL"
6,"28845","3205","2024-02-05 19:00:00","SHELIV"
15,"28845","3205","2024-04-08 19:00:00","SHELUT"
24,"28845","3205","2024-06-10 19:00:00","SHEMCI"
33,"28845","3205","2024-08-12 19:00:00","SHEMUN"
4,"28845","3205","2024-01-22 19:00:00","SHENEW"
13,"28845","3205","2024-03-25 19:00:00","SHENOT"
12,"28845","3205","2024-03-18 19:00:00","SHETOT"
21,"28845","3205","2024-05-20 19:00:00","SHEWHU"
22,"28845","3205","2024-05-27 19:00:00","SHEWOL"
1,"56565","6285","2024-01-01 19:00:00","TOTARS"
10,"56565","6285","2024-03-04 19:00:00","TOTAVL"
19,"56565","6285","2024-05-06 19:00:00","TOTBHA"
28,"56565","6285","2024-07-08 19:00:00","TOTBOU"
37,"56565","6285","2024-09-09 19:00:00","TOTBRE"
8,"56565","6285","2024-02-19 19:00:00","TOTBUR"
17,"56565","6285","2024-04-22 19:00:00","TOTCHE"
26,"56565","6285","2024-06-24 19:00:00","TOTCRY"
35,"56565","6285","2024-08-26 19:00:00","TOTEVE"
6,"56565","6285","2024-02-05 19:00:00","TOTFUL"
15,"56565","6285","2024-04-08 19:00:00","TOTLIV"
24,"56565","6285","2024-06-10 19:00:00","TOTLUT"
33,"56565","6285","2024-08-12 19:00:00","TOTMCI"
4,"56565","6285","2024-01-22 19:00:00","TOTMUN"
13,"56565","6285","2024-03-25 19:00:00","TOTNEW"
22,"56565","6285","2024-05-27 19:00:00","TOTNOT"
31,"56565","6285","2024-07-29 19:00:00","TOTSHE"
30,"56565","6285","2024-07-22 19:00:00","TOTWHU"
2,"56565","6285","2024-01-08 19:00:00","TOTWOL"
10,"56250","6250","2024-03-04 19:00:00","WHUARS"
19,"56250","6250","2024-05-06 19:00:00","WHUAVL"
28,"56250","6250","2024-07-08 19:00:00","WHUBHA"
37,"56250","6250","2024-09-09 19:00:00","WHUBOU"
8,"56250","6250","2024-02-19 19:00:00","WHUBRE"
17,"56250","6250","2024-04-22 19:00:00","WHUBUR"
26,"56250","6250","2024-06-24 19:00:00","WHUCHE"
35,"56250","6250","2024-08-26 19:00:00","WHUCRY"
6,"56250","6250","2024-02-05 19:00:00","WHUEVE"
15,"56250","6250","2024-04-08 19:00:00","WHUFUL"
24,"56250","6250","2024-06-10 19:00:00","WHULIV"
33,"56250","6250","2024-08-12 19:00:00","WHULUT"
4,"56250","6250","2024-01-22 19:00:00","WHUMCI"
13,"56250","6250","2024-03-25 19:00:00","WHUMUN"
22,"56250","6250","2024-05-27 19:00:00","WHUNEW"
31,"56250","6250","2024-07-29 19:00:00","WHUNOT"
2,"56250","6250","2024-01-08 19:00:00","WHUSHE"
11,"56250","6250","2024-03-11 19:00:00","WHUTOT"
20,"56250","6250","2024-05-13 19:00:00","WHUWOL"
19,"28575","3175","2024-05-06 19:00:00","WOLARS"
37,"28575","3175","2024-09-09 19:00:00","WOLAVL"
17,"28575","3175","2024-04-22 19:00:00","WOLBHA"
35,"28575","3175","2024-08-26 19:00:00","WOLBOU"
15,"28575","3175","2024-04-08 19:00:00","WOLBRE"
33,"28575","3175","2024-08-12 19:00:00","WOLBUR"
13,"28575","3175","2024-03-25 19:00:00","WOLCHE"
31,"28575","3175","2024-07-29 19:00:00","WOLCRY"
11,"28575","3175","2024-03-11 19:00:00","WOLEVE"
29,"28575","3175","2024-07-15 19:00:00","WOLFUL"
9,"28575","3175","2024-02-26 19:00:00","WOLLIV"
27,"28575","3175","2024-07-01 19:00:00","WOLLUT"
7,"28575","3175","2024-02-12 19:00:00","WOLMCI"
25,"28575","3175","2024-06-17 19:00:00","WOLMUN"
5,"28575","3175","2024-01-29 19:00:00","WOLNEW"
23,"28575","3175","2024-06-03 19:00:00","WOLNOT"
3,"28575","3175","2024-01-15 19:00:00","WOLSHE"
21,"28575","3175","2024-05-20 19:00:00","WOLTOT"
1,"28575","3175","2024-01-01 19:00:00","WOLWHU"
